titre,entreprise,contrat,localisation,lien,date_scraping,source
Data Scientist CDD 9 mois (F/H),Axa,Cdd,Télétravail,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-scientist-cdd-9-mois-f-h_nanterre,2026-02-10,WTTJ
Data Scientist - Voice Agents (F/H) - Stage de 6 mois,Axa,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-scientist-voice-agents-f-h-stage-de-6-mois_malakoff,2026-02-10,WTTJ
Data Scientist  (H/F),Datascientest,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/datascientest/jobs/data-scientist-stage_puteaux,2026-02-10,WTTJ
Data Scientist / IA - ALTERNANCE  H/F,Macif,Alternance,Télétravail,https://www.welcometothejungle.com/fr/companies/macif/jobs/data-scientist-ia-alternance-h-f_issy-les-moulineaux,2026-02-10,WTTJ
Manager Data Scientist - Macroeconomic Modeling,Quantcube Technology,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/quantcube-technology/jobs/manager-data-scientist_paris,2026-02-10,WTTJ
Practice Leader Data/IA,5 Degres,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/5-degres/jobs/practice-leader-data-ia_paris,2026-02-10,WTTJ
[VO2 Finance] - Data Scientist/Analyst,Vo2 Group,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/vo2-group/jobs/vo2-finance-data-scientist-analyst_paris,2026-02-10,WTTJ
Data Scientist,Margo,Projets Pricing & Segmentation – Practice IA MARGO,Paris,https://www.welcometothejungle.com/fr/companies/margo/jobs/data-scientist-projets-pricing-segmentation-practice-ia-margo_paris,2026-02-10,WTTJ
Lead Data Scientist – IA & GenAI,Margo,Practice IA MARGO,Paris,https://www.welcometothejungle.com/fr/companies/margo/jobs/lead-data-scientist-ia-genai-practice-ia-margo_paris,2026-02-10,WTTJ
Data Scientist Manager,Artefact,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/artefact/jobs/data-scientist-manager_paris_ARTEF_gzlzRNK,2026-02-10,WTTJ
ALTERNANCE - Data Scientist H/F,Totalenergies,Alternance,Télétravail,https://www.welcometothejungle.com/fr/companies/totalenergies/jobs/alternance-data-scientist-h-f_nanterre_TOTAL_z46krDM,2026-02-10,WTTJ
Senior Data Scientist (English & French fluent),Dataiku,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/dataiku/jobs/senior-data-scientist-english-french-fluent_paris,2026-02-10,WTTJ
Consultant IA - Stage de fin d'études Paris - Theodo Data & AI,Sicara,Stage,Paris,https://www.welcometothejungle.com/fr/companies/sicara/jobs/consultant-ia-stage-de-fin-d-etudes-paris-theodo-data-ai_paris,2026-02-10,WTTJ
Candidature spontanée - Theodo Data & AI,Sicara,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/sicara/jobs/candidature-spontanee-theodo-data-ai_paris,2026-02-10,WTTJ
Consultant Senior AI Advisory - CDI Paris - Theodo Data & AI,Sicara,Cdi,Paris,https://www.welcometothejungle.com/fr/companies/sicara/jobs/manager-consultant-senior-ai-advisory_paris,2026-02-10,WTTJ
Data Scientist,Step Consulting,Non précisé,Grenoble,https://www.welcometothejungle.com/fr/companies/step-consulting/jobs/data-scientist_grenoble,2026-02-10,WTTJ
Senior Data Scientist,Kiro Fr,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/kiro-fr/jobs/senior-data-scientist_paris_KIRO_zQQMpm8,2026-02-10,WTTJ
Data Scientist Health Monitoring F/H,Safran,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/safran/jobs/data-scientist-health-monitoring-f-h_chateaufort_SAFRA_7p1w55k,2026-02-10,WTTJ
Ingénieur(e) Data Scientist confirmé(e) - Industrie - Lyon,Cs Group,Non précisé,Lyon,https://www.welcometothejungle.com/fr/companies/cs-group/jobs/ingenieur-data-scientist-confirme-industrie-lyon_lyon_CS_RlDOVLp,2026-02-10,WTTJ
End of Study Data Scientist Intern in Engineering Team,Greenly,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/greenly/jobs/end-of-study-data-scientist-intern-in-engineering-team_paris,2026-02-10,WTTJ
Data Scientist LLM / AI H/F,Expleo,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/expleo/jobs/data-scientist-llm-ai-h-f_montigny-le-bretonneux,2026-02-10,WTTJ
Data Scientist (CDI),Elax Energie,Cdi,Paris,https://www.welcometothejungle.com/fr/companies/elax-energie/jobs/data-scientist_paris_EE_r7KGyg9,2026-02-10,WTTJ
V.I.E. Data Scientist (Operational Risk),Societe Generale,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/societe-generale/jobs/v-i-e-data-scientist-operational-risk_montreal,2026-02-10,WTTJ
Chef de projet Data Science - Office GDO f/h,Bnp Paribas,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/bnp-paribas/jobs/chef-de-projet-data-science-office-gdo-f-h_paris_BP_1W59DQL,2026-02-10,WTTJ
Consultant·e Data Scientist & AI Engineer - Senior,Saegus,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/saegus/jobs/consultant-e-data-scientist-ai-engineer-senior_paris_SAEGU_qQeolqr,2026-02-10,WTTJ
"V.I.E, Data Scientist, Londres H/F",Bnp Paribas,Non précisé,Puteaux,https://www.welcometothejungle.com/fr/companies/bnp-paribas/jobs/v-i-e-data-scientist-londres-h-f_puteaux,2026-02-10,WTTJ
Senior Data Scientist,Artefact,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/artefact/jobs/senior-data-scientist_paris_ARTEF_AJ288jP,2026-02-10,WTTJ
CDI - Data Scientist - H/F,Mediaperformances,Cdi,Télétravail,https://www.welcometothejungle.com/fr/companies/mediaperformances/jobs/cdi-data-scientist-h-f_courbevoie,2026-02-10,WTTJ
IA Scientist F/H,Matmut Fr,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/matmut-fr/jobs/ia-scientist-f-h_sotteville,2026-02-10,WTTJ
Expert géospatial / GeoAI / Data Science (H/F),Atos,Non précisé,Toulouse,https://www.welcometothejungle.com/fr/companies/atos/jobs/expert-geospatial-geoai-data-science-h-f_toulouse,2026-02-10,WTTJ
Stage - Data Scientist (F/H),Younited,Stage,Paris,https://www.welcometothejungle.com/fr/companies/younited/jobs/data-scientist-f-h_paris,2026-02-10,WTTJ
Consultant Data Scientist – Expert Media(H/F),Axys Consultants,Non précisé,Levallois,https://www.welcometothejungle.com/fr/companies/axys-consultants/jobs/consultant-data-scientist-expert-media-h-f_levallois-perret,2026-02-10,WTTJ
Data Scientist (H/F),Lidl Fr,Non précisé,France,https://www.welcometothejungle.com/fr/companies/lidl-fr/jobs/data-scientist-h-f_chatenay-malabry,2026-02-10,WTTJ
CDD - Data scientist H/F,Groupe Credit Agricole,Cdd,Télétravail,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/cdd-data-scientist-h-f_montrouge,2026-02-10,WTTJ
Consultant(e) Senior Data Science & IA,Siaxperience,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/siaxperience/jobs/consultant-senior-data-science-ia_paris_SIA_KK8Q8RR,2026-02-10,WTTJ
STAGE - Assistant Data Scientist - Mesures et réduction des biais des LLMs H/F,Groupe Credit Agricole,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/stage-assistant-data-scientist-mesures-et-reduction-des-biais-des-llms-h-f_montrouge,2026-02-10,WTTJ
Stage - Health Data Scientist (H/F),Withings,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/withings/jobs/stage-health-data-scientist-h-f_issy-les-moulineaux_WITHI_A1Q2mzd,2026-02-10,WTTJ
Data Scientist / Applied AI Developer,Animaj,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/animaj/jobs/data-scientist-applied-ai-developer_paris,2026-02-10,WTTJ
Senior Business Data Scientist - Marketing & Commercial effectiveness (H/M/N),Ekimetrics,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/ekimetrics/jobs/senior-consultant-data-scientist-f-m-n-paris_paris,2026-02-10,WTTJ
DATA SCIENTIST - GENERATION DE DONNEES SYNTHETIQUES - H/F,Banque De France,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/banque-de-france/jobs/data-scientist-generation-de-donnees-synthetiques-h-f_paris-9e-arrondissement,2026-02-10,WTTJ
DATA SCIENTIST & IA - H/F,Banque De France,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/banque-de-france/jobs/data-scientist-ia-h-f_paris-9e-arrondissement,2026-02-10,WTTJ
Data Scientist - H/F,Mp Data,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/mp-data/jobs/data-scientist-h-f_balma_MD_QpW88bw,2026-02-10,WTTJ
Stage Data Scientist (H/F) - 6 mois,Javelot,Stage,Paris,https://www.welcometothejungle.com/fr/companies/javelot/jobs/stage-data-scientist-h-f-6-mois_paris,2026-02-10,WTTJ
Junior Data Scientist (6-month Internship) 2025-2026,Kayrros,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/kayrros/jobs/junior-data-scientist-6-month-internship-2025-2026_paris,2026-02-10,WTTJ
"Data Scientist Intern, AI in Care Team",Back Market,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/back-market/jobs/data-scientist-intern-ai-core-team_paris,2026-02-10,WTTJ
"Consultant Senior / Manager Data Scientist Data & IA Strategy, Risk & Trustworthy AI Analyst F/H",Deloitte,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/deloitte/jobs/consultant-senior-manager-data-scientist-data-ia-strategy-risk-trustworthy-ai-analyst-f-h_paris-la-defense,2026-02-10,WTTJ
Consultant Risk Data Analyst / Data Scientist (H/F),Deloitte,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/deloitte/jobs/consultant-risk-data-analyst-data-scientist-h-f_paris-la-defense_DELOI_08gWXwy,2026-02-10,WTTJ
Data Scientist - Actuaire - Stages - Offre groupée - (F/H),Axa,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-scientist-actuaire-stages-offre-groupee-f-h_suresnes_AXA_VAl8dmW,2026-02-10,WTTJ
Senior Data Scientist NLP/GenAI - Catalog,Mirakl,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mirakl/jobs/data-scientist-nlp-genai-catalog_paris,2026-02-10,WTTJ
Senior Data Scientist NLP/GenAI - Catalog,Mirakl,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mirakl/jobs/data-scientist-nlp-genai-catalog_paris_MIRAK_bAL9ZOl,2026-02-10,WTTJ
Data Scientist - Computer Vision,Mirakl,Non précisé,Bordeaux,https://www.welcometothejungle.com/fr/companies/mirakl/jobs/data-scientist-computer-vision_bordeaux_MIRAK_A0Xz6ZR,2026-02-10,WTTJ
Data Scientist - Computer Vision,Mirakl,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mirakl/jobs/data-scientist-computer-vision_paris_MIRAK_yWxmKz6,2026-02-10,WTTJ
Data Scientist - Computer Vision,Mirakl,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mirakl/jobs/data-scientist-computer-vision_paris_MIRAK_dMPoaP3,2026-02-10,WTTJ
Data Scientist & IA [stage fin d'études] - Paris,Wedr,Stage,Paris,https://www.welcometothejungle.com/fr/companies/wedr/jobs/data-scientist-ia-stage-fin-d-etudes-paris_paris,2026-02-10,WTTJ
DATA SCIENTIST CONFIRME,Ministere Des Armees Fr,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/ministere-des-armees-fr/jobs/data-scientist-confirme_paris,2026-02-10,WTTJ
Data Scientist H/F,Nexton Consulting,Non précisé,Lille,https://www.welcometothejungle.com/fr/companies/nexton-consulting/jobs/data-scientist-h-f_lille_NEXTO_12Rox70,2026-02-10,WTTJ
Data Scientist / Machine Learning Engineer Confirmé F/H,Oney,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/oney/jobs/data-scientist-machine-learning-engineer-confirme-f-h_croix,2026-02-10,WTTJ
Senior Data Scientist F/M (Remote/Hybrid),Betclic,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/betclic/jobs/senior-data-scientist-f-m-remote-hybrid_bordeaux_BG_JZegwpb,2026-02-10,WTTJ
Stage de fin d’études - Data Scientist,Polynom,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/polynom/jobs/stage-data-scientist_rueil-malmaison,2026-02-10,WTTJ
Internship – Data Scientist – Conseil en stratégie & transition environnementale,Blunomy,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/blunomy/jobs/internship-data-scientist-conseil-en-strategie-transition-environnementale_paris,2026-02-10,WTTJ
Data Scientist,Capgemini,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/capgemini/jobs/data-scientist_paris_CAPGE_bRl3QDN,2026-02-10,WTTJ
Consultant.e - Product Data Scientist,Wigroup,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/wigroup/jobs/consultant-e-product-data-scientist_paris,2026-02-10,WTTJ
Stage de fin d’études Consultant(e) Data Science & IA,Siaxperience,Stage,Paris,https://www.welcometothejungle.com/fr/companies/siaxperience/jobs/stage-de-fin-d-etudes-consultant-data-science-ia_paris_SIA_XbqQmMK,2026-02-10,WTTJ
Lead Data Scientist ML et CV - Energies Renouvelables,Skyvisor,Non précisé,Rennes,https://www.welcometothejungle.com/fr/companies/skyvisor/jobs/data-scientist-confirme-ml-et-cv-energies-renouvelables_rennes,2026-02-10,WTTJ
Data Scientist ML et CV - Energies Renouvelables,Skyvisor,Non précisé,Rennes,https://www.welcometothejungle.com/fr/companies/skyvisor/jobs/data-scientist-ml-et-cv-energies-renouvelables_rennes,2026-02-10,WTTJ
Manager Data Scientist,Publicis Sapient,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/publicis-sapient/jobs/manager-data-scientist_paris_PS_OLrZKD,2026-02-10,WTTJ
Data Scientist (H/F),Withings,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/withings/jobs/data-scientist-h-f_issy-les-moulineaux_WITHI_KlPzlb3,2026-02-10,WTTJ
Senior Data Scientist,Aqemia,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/aqemia/jobs/senior-staff-data-scientist_paris,2026-02-10,WTTJ
Principal Data Scientist,Aqemia,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/aqemia/jobs/staff-data-scientist_paris,2026-02-10,WTTJ
Data Scientist & Recherche Opérationnelle confirmé (H/F),Mp Data,Non précisé,Boulogne,https://www.welcometothejungle.com/fr/companies/mp-data/jobs/data-scientist-recherche-operationnelle-confirme-h-f_boulogne-billancourt,2026-02-10,WTTJ
Data Scientist - Go To Market,Spendesk,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/spendesk/jobs/data-scientist-go-to-market_paris,2026-02-10,WTTJ
Ingénieur(e) Data Scientist confirmé(e) - Industrie - Le Plessis Robinson,Cs Group,Non précisé,France,https://www.welcometothejungle.com/fr/companies/cs-group/jobs/ingenieur-data-scientist-confirme-industrie-le-plessis-robinson_le-plessis-robinson_CS_edRKprV,2026-02-10,WTTJ
Data Scientist – Optimisation Énergies Renouvelables,Mp Data,Non précisé,Boulogne,https://www.welcometothejungle.com/fr/companies/mp-data/jobs/data-scientist-confirme-ia-generative_boulogne-billancourt,2026-02-10,WTTJ
Senior data scientist (H/F),Mp Data,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/mp-data/jobs/senior-data-scientist-h-f_balma_MD_2LLLMgj,2026-02-10,WTTJ
Senior Data Scientist NLP/GenAI - Catalog,Mirakl,Non précisé,Bordeaux,https://www.welcometothejungle.com/fr/companies/mirakl/jobs/data-scientist-nlp-genai-catalog_bordeaux,2026-02-10,WTTJ
STAGE - Data Scientist H/F - 6 mois,Bnp Paribas,Stage,Paris,https://www.welcometothejungle.com/fr/companies/bnp-paribas/jobs/stage-data-scientist-h-f-6-mois_paris_BP_8g4WdKg,2026-02-10,WTTJ
"Data Scientist, France - BCG X",Boston Consulting Group,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/boston-consulting-group/jobs/data-scientist-bcg-x_paris,2026-02-10,WTTJ
Stage Data Scientist - Paris,Artefact,Stage,Paris,https://www.welcometothejungle.com/fr/companies/artefact/jobs/intern-data-scientist_paris,2026-02-10,WTTJ
Senior Data analyst / Data scientist,Oderis,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/oderis/jobs/senior-data-analyst-data-scientist_paris,2026-02-10,WTTJ
Stagiaire Data Analyst / Data Scientist F/H,Safran Aircraft Engines,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/safran-aircraft-engines/jobs/stagiaire-data-analyst-data-scientist-f-h_evry,2026-02-10,WTTJ
ALTERNANCE - Data Scientist H/F,Totalenergies,Alternance,Télétravail,https://www.welcometothejungle.com/fr/companies/totalenergies/jobs/alternance-data-scientist-h-f_nanterre,2026-02-10,WTTJ
STAGE - Data Scientist H/F H/F,Groupe Credit Agricole,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/stage-data-scientist-h-f-h-f_montrouge,2026-02-10,WTTJ
Data Scientist - ROUBAIX H/F,Groupe Credit Agricole,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/data-scientist-roubaix-h-f_roubaix,2026-02-10,WTTJ
Data Scientist - CDD - 5 mois - ROUBAIX H/F,Groupe Credit Agricole,Cdd,Télétravail,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/data-scientist-cdd-5-mois-roubaix-h-f_roubaix,2026-02-10,WTTJ
Data Scientist F/H,Aphp,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/aphp/jobs/data-scientist-f-h_paris_ADDSND_qK9Mw95,2026-02-10,WTTJ
"Architecte Senior Data Science, ML, AI & GenAI",Societe Generale,Non précisé,La Défense,https://www.welcometothejungle.com/fr/companies/societe-generale/jobs/architecte-senior-data-science-ml-ai-genai_la-defense,2026-02-10,WTTJ
HAVAS MEDIA FRANCE - STAGE - DATA SCIENTIST IA & DÉVELOPPEMENT JUNIOR - F/H,Havas Sa,Stage,Puteaux,https://www.welcometothejungle.com/fr/companies/havas-sa/jobs/havas-media-france-stage-data-scientist-ia-developpement-junior-f-h_puteaux,2026-02-10,WTTJ
Data Science Intern,Pernod Ricard,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/pernod-ricard/jobs/data-science-intern_paris_PR_qyZ5GKj,2026-02-10,WTTJ
Stage Data Scientist,Mirakl,Stage,Paris,https://www.welcometothejungle.com/fr/companies/mirakl/jobs/stage-data-scientist_paris,2026-02-10,WTTJ
Junior Data Scientist - Casablanca,Artefact,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/artefact/jobs/junior-data-scientist-casablanca_paris,2026-02-10,WTTJ
Manager Data Scientist - Casablanca,Artefact,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/artefact/jobs/manager-data-scientist-casablanca_paris,2026-02-10,WTTJ
Senior Data Scientist - Casablanca,Artefact,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/artefact/jobs/senior-data-scientist-casablanca_paris,2026-02-10,WTTJ
Data Science - Senior Manager,Jakala,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/jakala/jobs/data-science-senior-manager_paris,2026-02-10,WTTJ
Data Scientist F/H,Safran Aircraft Engines,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/safran-aircraft-engines/jobs/data-scientist-f-h_montereau_SAE_2Zl4ypO,2026-02-10,WTTJ
Stage - Agro-Data Scientist F/H,Groupe Roullier,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/groupe-roullier/jobs/stage-agro-data-scientist-f-h_saint-malo,2026-02-10,WTTJ
Data Scientist,Mistral Ai,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mistral-ai/jobs/data-scientist_paris,2026-02-10,WTTJ
Lead Data Scientist,Illuin Tech,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/illuin-tech/jobs/lead-data-scientist_paris,2026-02-10,WTTJ
Data Scientist Roboticien H/F,Capgemini,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/capgemini/jobs/data-scientist-roboticien-h-f_aix-en-provence,2026-02-10,WTTJ
Healthcare Data Scientist - F/H,Sysnav,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/sysnav/jobs/healthcare-data-scientist-f-h,2026-02-10,WTTJ
Data Scientist - en Stage (F/H),Carrefour,Stage,Massy,https://www.welcometothejungle.com/fr/companies/carrefour/jobs/data-scientist-en-stage-f-h_massy_CARRE_GZad8A5,2026-02-10,WTTJ
DATA SCIENTIST F/H,Groupe Adp,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/groupe-adp/jobs/data-scientist-f-h_tremblay-en-france_GA_4D4mbw0,2026-02-10,WTTJ
STAGE - Ingénieure / Ingénieur généraliste avec une spécialité en Data Science,Arianegroup,Stage,France,https://www.welcometothejungle.com/fr/companies/arianegroup/jobs/stage-ingenieure-ingenieur-generaliste-avec-une-specialite-en-data-science_saint-medard-en-jalles,2026-02-10,WTTJ
Data Science Manager,Illuin Tech,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/illuin-tech/jobs/data-science-manager_paris,2026-02-10,WTTJ
Data Scientist - Electricity Markets - Stage,Le Groupe Nw,Stage,Paris,https://www.welcometothejungle.com/fr/companies/le-groupe-nw/jobs/data-scientist-marches-electricite-france_paris,2026-02-10,WTTJ
Data scientist (stage),Datacraft,Stage,Paris,https://www.welcometothejungle.com/fr/companies/datacraft/jobs/data-scientist-stage_paris,2026-02-10,WTTJ
Data Scientist Pricing Optimization (F/H),Axa,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-scientist-pricing-optimization-f-h_suresnes,2026-02-10,WTTJ
Data Scientist / Actuaire - Souscription – H/F,Axa,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-scientist-actuaire-souscription-h-f_suresnes_AXA_bDPglkW,2026-02-10,WTTJ
DATA SCIENTIST H/F,Cnp Assurances,Non précisé,France,https://www.welcometothejungle.com/fr/companies/cnp-assurances/jobs/data-scientist-h-f_issy-les-moulineaux_CA_oYJM7MQ,2026-02-10,WTTJ
Data Scientist Senior (F/H),Vertone,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/vertone/jobs/data-scientist-senior-f-h_paris_VERTO_o9q4Pr,2026-02-10,WTTJ
Chef de projets Data Science (H/F),Suez,Non précisé,France,https://www.welcometothejungle.com/fr/companies/suez/jobs/chef-de-projets-data-science-h-f_pessac,2026-02-10,WTTJ
Consultant(e) Confirme(e) Data / IA H/F,Mc2I,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mc2i/jobs/consultant-confirme-data-ia-h-f_paris_MC2I_WDxzbZ0,2026-02-10,WTTJ
Consultant(e) Confirme(e) Data / IA H/F,Mc2I,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mc2i/jobs/consultant-confirme-data-ia-h-f_paris_MC2I_xyo0x2r,2026-02-10,WTTJ
Consultant(e) Confirme(e) Data / IA H/F,Mc2I,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mc2i/jobs/consultant-confirme-data-ia-h-f_paris_MC2I_YodNm11,2026-02-10,WTTJ
DSR 75 Sécurité Routière ATR BSI Data Scientist confirmé (SIC),Ministere De L Interieur,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/ministere-de-l-interieur/jobs/dsr-75-securite-routiere-atr-bsi-data-scientist-confirme-sic_paris,2026-02-10,WTTJ
Stage Data Scientist-NLP,Codoc,Stage,Paris,https://www.welcometothejungle.com/fr/companies/codoc/jobs/stage-nlp_paris,2026-02-10,WTTJ
Data Scientist H/F - CDI,Plebicom,Cdi,Lyon,https://www.welcometothejungle.com/fr/companies/plebicom/jobs/data-scientist-h-f-cdi_lyon,2026-02-10,WTTJ
Data Scientist (H/F) - Stage 6 mois (stage de césure possible),Allphins,Stage,Paris,https://www.welcometothejungle.com/fr/companies/allphins/jobs/data-scientist-h-f-stage-6-mois-teletravail-possible_paris,2026-02-10,WTTJ
Data Scientists / ML Engineers,Coface,Non précisé,France,https://www.welcometothejungle.com/fr/companies/coface/jobs/data-scientists-ml-engineers_bois-colombes,2026-02-10,WTTJ
DATA SCIENTIST - H/F,Banque De France,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/banque-de-france/jobs/data-scientist-h-f_paris-9e-arrondissement,2026-02-10,WTTJ
Stage 2026 - Data Science et Machine Learning/AI practitionner - Sujet : Data attribution (H/F/N),Ekimetrics,Stage,Paris,https://www.welcometothejungle.com/fr/companies/ekimetrics/jobs/stage-2026-data-science-et-machine-learning-ai-practitionner-sujet-data-attribution-h-f-n_paris,2026-02-10,WTTJ
Stage - Deep Learning Scientist (H/F),Safran Ai,Stage,Paris,https://www.welcometothejungle.com/fr/companies/safran-ai/jobs/stage-deep-learning-scientist-h-f_paris_SE_D306dKG,2026-02-10,WTTJ
Data Scientist,Jedha,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/jedha/jobs/data-scientist_paris,2026-02-10,WTTJ
Data Scientist & Recherche Opérationnelle confirmé (H/F),Mp Data,Non précisé,Marseille,https://www.welcometothejungle.com/fr/companies/mp-data/jobs/data-scientist-recherche-operationnelle-confirme-h-f_marseille,2026-02-10,WTTJ
